,name,link,research_interest,ID
10,Dr Abbas Hasan,https://www.hull.ac.uk/staff-directory/abbas-hasan,"

Research interests
My research interests are; 
•	 Process control & instrumentation, 
•	 Multiphase flow modelling, measurement and metering for oil &  gas industry,  
•	Process Tomography & sensor design for multiphase flow applications in oil & gas industry, 
•	 Fluid dynamics, 
•	 Large scale experiments and investigation of two phase flows in environmental applications (e.g. Marine, Volcano).


Postgraduate supervision
Dr Abbas Hasan welcomes PhD applications in the following areas; 
•	Multiphase flow metering 
•	Process Tomography in two phase flows for oil & gas industry  
•	Sensor development for two and three phase flows 
•	Viscous flow

",11
11,Dr Ali Badiei,https://www.hull.ac.uk/staff-directory/ali-badiei,"

Research interests
- Energy Simulation and Performance Analysis 
- Building Physics and Energy Evaluation 
- Building services 
- Solar-Assisted Heat Pump Technologies 
- Dew Point Cooling Technologies 
- Renewable and Sustainable Developments


Postgraduate supervision
- Energy Simulation and Performance Analysis 
- Building Physics and Energy Evaluation 
- Building Energy Efficiency and Improvements

",12
12,Dr Evdokia Tapoglou,https://www.hull.ac.uk/staff-directory/evdokia-tapoglou,"

Research interests
Machine Learning 
Optimization 
Wave forecasting  
Offshore Renewable Energy 
Climate change adaptation and mitigation 
Groundwater modelling

",13
13,Mrs Belen Rebollo-Garcia,https://www.hull.ac.uk/staff-directory/belen-rebollo-garcia,None,14
14,Mr Zach North,https://www.hull.ac.uk/staff-directory/zach-north,None,15
15,Dr Clare Killingback,https://www.hull.ac.uk/staff-directory/clare-killingback,"

Research interests
Clare's research interests lie in the areas of physical activity, social isolation, older people and pedagogy. She is passionate about helping the next generation of physiotherapists become excellent in utilising evidence-based practice.

",16
16,Dr Christopher Westoby,https://www.hull.ac.uk/staff-directory/christopher-westoby,None,17
17,Dr Orlando Santoro,https://www.hull.ac.uk/staff-directory/orlando-santoro,"

Research interests
Orlando's main research interests are: 
1) Design and synthesis of organometallic complexes of Group IV metals bearing macrocyclic ligands; 
2) Development of Biodegradable polymers by Ring Opening Polymerisation (ROP) of cyclic esters; 
3) Use of carbon dioxide as C1 feedstock

",18
18,Dr Canglong Wang,https://www.hull.ac.uk/staff-directory/canglong-wang,"

Research interests
Chinese citizenship 
Confucianism 
Sociology of education 
Classical education in China 
National and cultural identity 
Schooling ethnography 
Foucault 
Contemporary China 
Digital culture


Postgraduate supervision
Canglong welcomes PhD project proposals in Confucian philosophy, citizenship studies, and sociology of education. Ideas for modern/contemporary China studies (in a broad sense) are also very welcome.

",19
19,Dr Kate Smith,https://www.hull.ac.uk/staff-directory/kate-smith,"

Research interests
Cultural and social life of floods, perceptions and response to flooding, climate change and the Anthropocene; contemporary calendar customs; political ecology of contemporary paganisms.

",20
20,Dr Jing Li,https://www.hull.ac.uk/staff-directory/jing-li,None,21
21,Mrs Helen Jacques,https://www.hull.ac.uk/staff-directory/helen-jacques,"

Research interests
Yoga in pregnancy

",22
22,Dr Xin Xiao,https://www.hull.ac.uk/staff-directory/xin-xiao,None,23
23,Mrs Rachel Harris-Raven,https://www.hull.ac.uk/staff-directory/rachel-harris-raven,"

Research interests
Improving ambulance clinician approach to end of life care 
Pre-hospital care of elderly patients 
Improving staff resilience in all healthcare disciplines 
Feasibility of external compression of the abdominal aorta for control of catastrophic post-partum haemorrhage by ambulance clinicians 
Inter-professional education

",24
24,Miss Min Yu,https://www.hull.ac.uk/staff-directory/min-yu,None,25
25,Professor Gregory Smithers,https://www.hull.ac.uk/staff-directory/gregory-smithers,"

Research interests
Indigenous history 
Environmental history 
United States history 
Settler colonialism

",26
26,Dr Emmanuele Tidoni,https://www.hull.ac.uk/staff-directory/emmanuele-tidoni,"

Research interests
Neuroscience, Robotics, Virtual Reality


Postgraduate supervision
I aim to bridge social neuroscience, applied sciences and developers of robotics and virtual systems. My goal is to investigate social cognition and self-other representation in single individuals and social contexts.

",27
27,Dr Cristina Clopot,https://www.hull.ac.uk/staff-directory/cristina-clopot,"

Research interests
Cristina’s past work has focused on different aspects of heritage, especially in connection to intangible cultural heritage and ethnic/minority heritages as well as European heritage-making practices and narratives. In the frame of the ECHOES project her interests focus on heritage diplomacy.

",28
28,Dr Steve Myers,https://www.hull.ac.uk/staff-directory/steve-myers,None,29
29,Dr Anne Baar,https://www.hull.ac.uk/staff-directory/anne-baar,None,30
30,Dr Matthew Northgraves,https://www.hull.ac.uk/staff-directory/matthew-northgraves,None,31
31,Dr Charlotte Kelly,https://www.hull.ac.uk/staff-directory/charlotte-kelly,None,32
32,Dr Daniel Cowing,https://www.hull.ac.uk/staff-directory/daniel-cowing,None,33
33,Dr Karen Rodgers,https://www.hull.ac.uk/staff-directory/karen-rodgers,"

Research interests
I am studying the environmental impact of biodegradable plastics to compare them to conventional plastics.  The point is to make sure that the new plastics are actually more environmentally friendly before we start using them.  I am using lab experiments and will soon be conducting field experiments.

",34
34,Dr Igor Menezes,https://www.hull.ac.uk/staff-directory/igor-menezes,"

Research interests
Organisational psychology micro-behaviours 
Cognitive analytics and machine learning 
Psychometrics / quantitative methods 
Psychological networks 
Personality?


Postgraduate supervision
Organisational climate 
Organisational commitment / engagement 
Organisational citizenship behaviours 
Turnover intentions / reasons

",35
35,Dr Agota Mockute,https://www.hull.ac.uk/staff-directory/agota-mockute,"

Research interests
Offshore wind energy 
Offshore wind turbines 
Wave loading 
Fluid-structure interaction 
Numerical modelling

",36
36,Dr Fiona Frame,https://www.hull.ac.uk/staff-directory/fiona-frame,"

Research interests
- Research area is prostate cancer with an interest in therapy resistance, using primary prostate epithelial cells from patient samples as a clinically relevant model. 
 
- Preferred research style is collaborative working, within and across institutions, with a bias for interdisciplinary projects and academic-industry partnerships.

",37
37,Dr Franklin Onukwugha,https://www.hull.ac.uk/staff-directory/franklin-onukwugha,"

Research interests
Franklin is interested in Global Health research with a specific focus on adolescent sexual/reproductive health, maternal/child health and HIV/AIDS, and the interface between research, policy and practice.  As a Policy Communication fellow, He is passionate about bridging research to policy gap in low- and mid-income countries.


Postgraduate supervision
Franklin completed his PhD in Social Policy at the University of Hull. His thesis adopted a Socio-Ecological theoretical approach to explore the determinants of adolescent’s access and utilisation of Sexual and Reproductive health services in Nigeria.

",38
38,Dr Jenny Spear,https://www.hull.ac.uk/staff-directory/jenny-spear,"

Research interests
All aspects of translational research that requires innovation management and commercialisation support to work with external organisations and have an impact. 
Specific expertise in the development of medical technology and significant experience working within the energy and environment sector.

",39
39,Professor Lucy Mazdon,https://www.hull.ac.uk/staff-directory/lucy-mazdon,"

Research interests
Film; Film History; Television; French cinema; Transnational Film; European cinema

",40
40,Mrs Frances Hodgson,https://www.hull.ac.uk/staff-directory/frances-hodgson,"

Research interests
Continuity of carer

",41
41,Dr Saravana Jaganathan,https://www.hull.ac.uk/staff-directory/saravana-jaganathan,"

Research interests
Major research focus is on three aspects: 1. Biomimetic-manufacturing of the composite  2. Elucidating the mechanics and physicochemical properties of the composite materials developed and 3. In vitro and in vivo validation of its feasibility for a particular tissue engineering application.


Postgraduate supervision
Biomaterials and Tissue Engineering

",42
42,Dr Olufikayo Bamidele,https://www.hull.ac.uk/staff-directory/olufikayo-bamidele,"

Research interests
Health inequalities, psychosocial aspects of cancer research,  prostate cancer, Black and Minority Ethnic (BME) groups, qualitative research, systematic reviews and evidence synthesis

",43
43,Dr Irene Sotiropoulou,https://www.hull.ac.uk/staff-directory/irene-sotiropoulou,"

Research interests
- Heterodox Economics, particularly alternative theories about money & finance, non-monetary economics, parallel currencies, theories about value.  
- Sustainable-ecological economics, small production modes, economics of the commons. 
- Feminist Economics & Gender aspects of Economics, both on Micro, Macro & International levels. 
- Grassroots economics, grassroots economic structures, solidarity economics, social economy, cooperatives & recuperated/self-managed enterprises.  
- Non-capitalist economic structures, both in historical & contemporary societies, traditional economies, parallel (capitalist & non-capitalist) economic structures.  
- Economic history, particularly of early capitalist structures, non-capitalist structures purged by or surviving capitalism. 
 
Geographical areas of expertise: Greece, Turkey, UK, Jordan, Eastern Mediterranean, Venetian Empire.

",44
44, Grahame Mackenzie,https://www.hull.ac.uk/staff-directory/grahame-mackenzie,None,45
45,Dr Charlotte Hopkins,https://www.hull.ac.uk/staff-directory/charlotte-hopkins,"

Research interests
Charlotte's  research expertise is in marine conservation and management, particularly considering human interactions with the marine environment. Recent research projects have included: “Sundarbans fisheries: A model system for the application of landscape ecology and social science approaches to management” and understanding the drivers of MPA compliance within local Bedouin communities, Egypt.

",46
46,Professor Andrew Heyes,https://www.hull.ac.uk/staff-directory/andrew-heyes,"

Research interests
My PhD concerned the development of laser based flow measurement techniques that can be used to determine the velocity field in supersonic flows – over an aircraft wing for example. Ever since, the development and application of flow diagnostics for extreme environments has remained a strand of my research activity. In particular I have developed techniques for surface and flow temperature measurement using the spectral and temporal luminescent properties of ceramic, so-called, thermographic phosphors. This work has generated to a number of patents and the creation of a spin-out company, now called Sensor Coating Systems ltd, (www.sensorcoatings.com) which can trace its origins to 2002. SCS offers bespoke measurement services to a wide range of industries and has offices and laboratories in East London.   
Another strand of my research concerns energy based industrial symbiosis. To this day the UK, and especially the Humber region, has numerous energy intensive industries and the energy content in the waste heat they reject to the atmosphere far exceeds the nation’s current or foreseeable renewable energy generating capacity. Finding economic and technical means to recovery and reuse this energy could make a substantial contribution both to the economy and our aspirations for a sustainable carbon neutral future. My work concerns identifying potential relationships between companies to form optimised symbiotic energy networks where the waste from one becomes an input to another. This work has been funded by the EU under Horizon 2020 and is encapsulated as part of the SHAREBOX (http://sharebox-project.eu) tool set.


Postgraduate supervision
Industrial Energy Symbiosis

",47
47,Dr Laura Mayne,https://www.hull.ac.uk/staff-directory/laura-mayne,None,48
48,Dr Natasha Dowey,https://www.hull.ac.uk/staff-directory/natasha-dowey,"

Research interests
My research interests include explosive volcanism, pyroclastic density currents, geological hazards, igneous geochemistry, basin analysis, basin modelling, science communication and risk analysis.  
 
I am currently a co-supervisor on an advertised fully-funded NERC Panorama PhD project. If you are keen to undertake a PhD in explosive volcanism, please click this link for more details and how to apply: https://panorama-dtp.ac.uk/research/assessing-the-rock-record-of-hazardous-pulsatory-pyroclastic-density-currents/ 

",49
49,Mr Wayne Buckton,https://www.hull.ac.uk/staff-directory/wayne-buckton,"

Research interests
His current research interest is around practitioner self-esteem within the context of Deprivation of Liberty Safeguards practice.

",50
50,  Helen Victoria Wilson,https://www.hull.ac.uk/staff-directory/-helen-victoria-wilson,None,51
51,Professor Zhangyuan Wang,https://www.hull.ac.uk/staff-directory/zhangyuan-wang,None,52
52,Dr Kristofer Ray,https://www.hull.ac.uk/staff-directory/kristofer-ray,"

Research interests
Indigenous North America 
Indigenous Sovereignty 
16th-18th Century Native South and Ohio Valley 
The Legal Construction of Indigenous Slavery


Postgraduate supervision
Indigenous North America 
Indigenous Sovereignty 
16th-18th Century Native South and Ohio Valley 
The Legal Construction of Indigenous Slavery 
Early America

",53
53,Mr Andrew Smith,https://www.hull.ac.uk/staff-directory/andrew-smith,None,54
54,Dr James Anthony Chetwood,https://www.hull.ac.uk/staff-directory/james-anthony-chetwood,"

Research interests
- Medieval History 
- Social History 
- Personal Names 
- Onomastics 
- Linguistics

",55
55,Dr Stephen Stericker,https://www.hull.ac.uk/staff-directory/stephen-stericker,"

Research interests
Steve completed his PhD in Social Work in 2010, focussing upon inter-professional collaboration in child and adolescent mental services. His research interests include implementation science, evaluation research, inter-professional working and integrated models of care. Steve joined the University in September 2019

",56
56,Dr Jo Beckett,https://www.hull.ac.uk/staff-directory/jo-beckett,"

Research interests
•	Cognitive impairments and psychological distress across all organic and functional neurology patient groups  
•	Psychological sequelae and experiences of physical ill health and disability 
•	Psychological trauma reactions 
•	Staff and student wellbeing and resilience 
•	Workplace wellbeing 
•	Psychological health promotion 
•	Compassion in healthcare and education 
 
Published Papers: 
 
•	Lowe, G., Beckett, J. & Lowe, G. (2003).  Poetry writing and secretory immunoglobulin A.  Psychological Reports, 92, 847-848. 
 
Completed Research: 
 
•	Predictors of mood disturbances in Multiple Sclerosis patients (MSc Clinical Neuropsychology) 
•	The overlap between post-concussive symptoms following traumatic head injury and symptoms of Post-Traumatic Stress Disorder (Literature Review -ClinPsyD) 
•	Implicit emotional memory formation with concurrent midazolam amnesia following colonoscopy (ClinPsyD)  
•	Poetry writing and secretory immunoglobulin A (BSc)

",57
57,Dr Joanne Cairns,https://www.hull.ac.uk/staff-directory/joanne-cairns,"

Postgraduate supervision
Early diagnosis and detection of cancer 
Inequalities 
Cancer screening 
Social capital

",58
58,Mrs Heidi Fewings,https://www.hull.ac.uk/staff-directory/heidi-fewings,"

Research interests
Adolescent Development 
Adolescent risk taking behaviours 
Marginalised and Vulnerable communities 
School Nursing 
Children's Mental Health

",59
59,Dr Jen Bright,https://www.hull.ac.uk/staff-directory/jen-bright,"

Research interests
Functional morphology, Finite Element Analysis, Geometric Morphometrics, feeding biomechanics, birds

",60
60,Ms Pip Betts,https://www.hull.ac.uk/staff-directory/pip-betts,None,61
61,Dr Sarah Chipperfield,https://www.hull.ac.uk/staff-directory/sarah-chipperfield,"

Research interests
Active ageing 
Physical activity and health 
Ballroom dancing and well-being


Postgraduate supervision
Active ageing  
Physical activity and health

",62
62,Dr Ehsan Khavandkar,https://www.hull.ac.uk/staff-directory/ehsan-khavandkar,"

Research interests
With an interdisciplinary background incorporating economics, entrepreneurship, industrial engineering, ST&I policy and intellectual capital management, Dr. Khavandkar`s research spans economics of innovation, entrepreneurship, network externalities, knowledge & innovation ecosystem and agglomeration studies. A unifying theme across his work is an interest in “co-creation and co-evolution” as an avenue to engage individuals, firms, institutions and communities in sustainable, intersectoral and collaborative innovation practices in the short and long term. He is currently involved in a research project (United Kingdom Science and Technology Parks Survey - UKSTP Survey) that seeks to better understand the dynamics of co-creation and co-evolution in the UK science and technology parks, and how spatial proximity shapes the onsite firms` cognitive structure and perceptions of organisational, social and technological proximities, and what these mean for innovation and knowledge ecosystem design in Britain. His areas of research include: 
 
- Economics of innovation, systems of innovation, evolutionary processes and ST&I policy; 
- Geography of innovation, innovation and knowledge ecosystems, and agglomeration studies; 
- Regional and macro-level determinants of entrepreneurship, institutions and network externalities; 
- Co-creation models, open innovation, innovation intermediaries [particularly, in/and for micro and small firms]; 
- Co-evolution mechanisms, collaborative and coopetition-based business models and sustainability [particularly, in/and for micro and small firms]; 
- Knowledge Diffusion, Intellectual capital management and dynamic capabilities; 
 
Dr. Khavandkar welcomes contacts from prospective Ph.D. students who are interested in working in any of the above areas.

",63
63,Mr Tom Whyman,https://www.hull.ac.uk/staff-directory/tom-whyman,None,64
64,Miss Olivia Harrison,https://www.hull.ac.uk/staff-directory/olivia-harrison,None,65
65,Dr Muhammad Awais,https://www.hull.ac.uk/staff-directory/muhammad-awais,"

Research interests
Applied AI and Machine Learning, Deep Learning, Internet of things for smart: city, healthcare and  Industry, ICT based assistive technologies for health, Biomedical Signal Processing, Wearable Computing, Data Analytics, Data Mining,

",66
66,Miss Bethan Griffith,https://www.hull.ac.uk/staff-directory/bethan-griffith,None,67
67,Dr John Atanbori,https://www.hull.ac.uk/staff-directory/john-atanbori,"

Research interests
Computer Vision 
Machine Learning 
Deep Learning 
The application of Computer Vision, Machine and Deep Learning to  Plant Phenotyping, Agric Technology and Animal Behaviour.

",68
68,Dr Catherine Dobson,https://www.hull.ac.uk/staff-directory/catherine-dobson,"

Research interests
Finite element analysis of biological problems, medical devices, musculoskeletal biomechanics


Postgraduate supervision
Cardiovascular stent fracture 
Mechanobiology of bone, particularly bone development 
Musculoskeletal biomechanics, particularly relating to osteoporosis 
Medical device development

",69
69,Mr Paul Hopkins,https://www.hull.ac.uk/staff-directory/paul-hopkins,"

Research interests
Technology Enhanced Learning 
Primary Science 
Pedagogy and Practice


Postgraduate supervision
Paul would welcome applications in the area of technology-enhanced learning.

",70
70,Dr Richard Noble,https://www.hull.ac.uk/staff-directory/richard-noble,"

Postgraduate supervision
Richard welcomes applications in any field related to freshwater fish ecology, ecological assessment of the response of fish populations / communities to environmental change, and fisheries management and conservation.

Current PhD supervisions 

- Jamie Dodd, Fish passage performance

",71
71,Dr Sharron Wilkinson,https://www.hull.ac.uk/staff-directory/sharron-wilkinson,"

Research interests
Wicked theory and its application to social issues 
Prison Education 
Professional identity and professionalism in FE

",72
72,Dr Michael Varney,https://www.hull.ac.uk/staff-directory/michael-varney,"

Postgraduate supervision
Mike enjoys the process of PhD supervision and has been involved in a number of successful projects in the past 10 years.

He would welcome enquiries from those wishing to read for a PhD degree in any of the areas where he has research interests.

Completed PhDs

-  Salah Fakroun, Legal Barriers to Foreign Direct Investment in Libya: A Qualitative Study (2016)

-  Abdulla Alzaben, Barriers and Possible Solutions to Saudi Arabia's Accession to the WTO's Government Procurement Agreement (2016)

-  Kenneth Ajibo, Corporate Governance and Regulation of the Banking Industry in Nigeria: The Need for a Context-Specific Approach (2015)

-  Eghosa Osa Ekhator, Corporate Social Responsibility and the Regulation of Multinationals in the Oil and Gas Sector in Nigeria: Whither Non-State Actors? (2015)

-  Abdullah Al-Masfer, The Regulation of Foreign Direct Investment in the Kingdom of Saudi Arabia through the Spectrum of Administrative Law (2014)

-  Adaeze Ifesi, Legitimacy of Corporate Power: The Definition of Corporate Social Responsibility and an Analysis of Legal Perspectives (2012)

Current PhD supervisions

-  Salim Al-Kharusi, Constitutionalism and the Reform of the Omani Parliament

-  Zheng Zhu, The Implementation of Human Rights Protection in China: A Comparative Study

",73
73,Ms Diana Wallis,https://www.hull.ac.uk/staff-directory/diana-wallis,None,74
74,Dr Andy Nunn,https://www.hull.ac.uk/staff-directory/andy-nunn,"

Postgraduate supervision
Dr Nunn welcomes applications for PhD and Masters research in all of his areas of interest and specialist knowledge, especially fish ecology and management.

",75
75,Miss Louise Lewis,https://www.hull.ac.uk/staff-directory/louise-lewis,None,76
76,Mr Lucas Mander,https://www.hull.ac.uk/staff-directory/lucas-mander,"


Project
Funder
Grant
Started
Status


Project
Waterbird assessment for proposed habitat compensatory sites
Funder
Environment Agency
Grant
£7,200.00
Started
15 July 2016
Status
Complete


Project
2017/2018 Waterbird use of Welwick Realignment Site (Humber Estuary)
Funder
ABP Marine Environmental Research Ltd
Grant
£6,586.00
Started
1 September 2017
Status
Complete


Project
Investigation of habitat suitability for estuarine wading birds using high-resolution tracking
Funder
British Trust for Ornithology
Grant
£3,000.00
Started
1 November 2017
Status
Ongoing


Project
Waterbird use of realignment site 2018/19 monitoring at Welwick
Funder
ABP Research & Consultancy
Grant
£6,587.00
Started
1 September 2018
Status
Complete


",77
77,Miss Tomoko Miyairi,https://www.hull.ac.uk/staff-directory/tomoko-miyairi,None,78
78,Mr Geoff Gibson,https://www.hull.ac.uk/staff-directory/geoff-gibson,None,79
79,Dr Denise Carter,https://www.hull.ac.uk/staff-directory/denise-carter,"

Postgraduate supervision
Digital life and sociology 
Social Media 
Cyberterrorism 
Cyberspace/Cyberculture

",80
80,Mrs Kerry Dobson,https://www.hull.ac.uk/staff-directory/kerry-dobson,None,81
81,Dr David Parker,https://www.hull.ac.uk/staff-directory/david-parker,"

Research interests
I am a member of the Dependable and Intelligent Systems research group in the Department of Computer Science and Technology. 
 
As part of my research in to safety-critical systems I am a co-inventor of HiP-HOPS, a state-of-the-art model-based safety and dependability analysis and optimisation tool. 
 
I am particularly interested in the use of meta-heuristic optimisation algorithms to improve characteristics of safety-critical systems.

",82
82,Mr Christopher Jones,https://www.hull.ac.uk/staff-directory/christopher-jones,None,83
83,Mrs Kay Brady,https://www.hull.ac.uk/staff-directory/kay-brady,"

Research interests
Drugs and drug use 
Domestic abuse and support  
Homelessness 
Mature students within Higher Education


Postgraduate supervision
Drugs and drug use 
Domestic abuse and support  
Homelessness 
Mature students within Higher Education

",84
84,Dr Tim Alexander,https://www.hull.ac.uk/staff-directory/tim-alexander,"

Postgraduate supervision
Dr Alexander supervises students' research on the Doctorate in Clinical Psychology programme.

Completed PhDs

Doctorate in Clinical Psychology

- Claudia Myler (2017) Self-compassion and shame in interpreters.

- Jessica Guilding (2017) Perceptions of identity in veterans with traumatic limb amputations.

- Dannielle Claridge (2017) Masculinity and help-seeking behaviour in armed forces veterans.

- Jessica Gleeson (2017) The experiences of people with type two diabetes mellitus and hypoglycamic unawareness

- Dane Rowley (2016) Does Theory of Mind Predict Moral Judgement Following a Traumatic Brain Injury?

- Louise Durant (2016) The experiences of palliative care workers in maintaining compassion at work.

- Lily Dixon (2016) An exploration of individual distress and personal growth following the experience of hallucinations.

- Leah Glover (2015) The influence of self-blame and self-compassion on psychological health and well-being in individuals living with chronic physical health conditions.

- Lauren Henshall (2015) An exploration of self-compassion within healthcare professionals.

- Katie Topp (2015) Managing different roles: The experiences of female nursing reservists who have deployed with the UK armed forces.

- Matilda Ohlsson (2015) The retrieval of episodic memories in Parkinson's Disease: The role of emotion and subjective memory states.

- Christopher Scane (2015) Trauma, dissociation and psychosis: Investigating the role of attention during threat processing.

- Stephanie Petty (2013) Everyday functioning in individuals with microvascular complications with Type 1 Diabetes: How does objective cognitive performance translate into self-reported cognitive skills and diabetes self-management?

- Felicity Nicholls (2013) Anxiety and depression in the undergraduate transition to university.

- Georgina Batten (2012) Quality of life in deaf children: profiles of children with cochlear implants and relationships with hearing peers.

- Jocelyn Hall (2011) Self-Defining Memories and Mental Imagery in Individuals Likely to Develop Bipolar Disorder.

- Hayley Walker (2011) Professional quality of life amongst mental health workers.

- Claire Wilson (2009) Siblings of children with ADHD, chronic illness and developmental disorder: Psychological impact and interventions.

Current PhD supervisions 

Doctorate in Clinical Psychology

- Katherine Alder (2018) The role of the compassionate mind in disordered eating.

- Mary Walker (2018) Body image and self-compassion.

- Cara Childs (2018) The role of self-compassion in adherence for type two diabetes patients.

- Sean Malkin (2018) The role of shame in nursing education.

- Emma Minns (2018) Stigma in acquired brain injury.

- Johanna Gledhill (2018) Maintaining clinician and client hope with long waiting times.

- Rubina Fada (2019) Experiences of shame in borderline personality disorder.

- Laura Hadgett (2019) The relationship between compassion and burnout in teachers.

- Alexandra Askew (2019) Agents of change in a staff compassion focussed therapy group.

",85
85,Ms Julie Rippingale,https://www.hull.ac.uk/staff-directory/julie-rippingale,"

Research interests
Young peoples health and wellbeing, particularly mental health  
Youth offending - causes and responses 
Poverty 
Understanding quality teaching, learning and assessment

",86
86,Dr Jon Bolland,https://www.hull.ac.uk/staff-directory/jon-bolland,None,87
87,Mr Simon Grey,https://www.hull.ac.uk/staff-directory/simon-grey,None,88
88,Dr Karin Cooper,https://www.hull.ac.uk/staff-directory/karin-cooper,"

Postgraduate supervision
Karin welcomes applications in 
 
-  fostering 
 
-  kinship care 
 
-  looked after children 
 
-  child sexual exploitation 
 
Current PhD supervisions 
 
-  Theresa Redmond - Child Sexual Exploitation 
 
-  Haya Aleshaiwy - Child Protection in a Saudi Arabian Context 
 
-  Nkiru Ikeh - Children's Rights in Nigeria

",89
89,Dr Giles Hindle,https://www.hull.ac.uk/staff-directory/giles-hindle,"

Postgraduate supervision
Dr Hindle welcomes applications in 
 
-  Data Science 
 
-  Business Analytics 
 
-  Business Modelling 
 
-  Soft Systems Thinking 
 
-  Operational Research

",90
90,Mr Robert Consoli,https://www.hull.ac.uk/staff-directory/robert-consoli,None,91
91,Ms Chantal Gervais,https://www.hull.ac.uk/staff-directory/chantal-gervais,None,92
92,Dr Angela Shepherd,https://www.hull.ac.uk/staff-directory/angela-shepherd,None,93
93,Ms Suzanne Groom,https://www.hull.ac.uk/staff-directory/suzanne-groom,None,94
94,Dr John Bennett,https://www.hull.ac.uk/staff-directory/john-bennett,None,95
95,Dr Laura Sadofsky,https://www.hull.ac.uk/staff-directory/laura-sadofsky,"

Postgraduate supervision
Ion channels including the thermo-Transient Receptor Potential (TRP) cation channels TRPA1, TRPV1, TRPV4 and TRPM8 (TRP ankyrin-1, vanilloid-1, vanilloid-4 and melastatin-8) and purinergic receptors P2X2 and P2X3

- Biomedical Microfluidics

- Precision Cut Lung Slices (PCLS)

- Human rhinovirus

- Cough and airways inflammation

Completed PhDs

Knaggs J D, The Modulation of Transient Receptor Potential A1 Channel by Natural and Novel Semi-synthetic Compounds via Non-covalent Modification (2016).

Fraser S D, Peripheral Blood Leukocyte Immune Responses in Sarcoidosis (2016)

Current PhDs 

- Samantha Atkinson

- Arundhasa Chandrabalan

- Rebecca Stinson

",96
