names,links,research,department
Dr Briony McDonagh,https://www.hull.ac.uk/staff-directory/briony-mcdonagh,"


Project
Funder
Grant
Started
Status


Project
Experiencing the landscape: popular geographical imaginations in the English Midlands, 1450-1650
Funder
British Academy
Grant
£9,968.00
Started
1 September 2014
Status
Complete


Project
Gendering the commons
Funder
The Leverhulme Trust
Grant
£55,000.00
Started
1 January 2019
Status
Ongoing



Postgraduate supervision
Briony welcomes enquiries from potential students (PhD and Masters) wishing to work on projects on the following themes (broadly interpreted), in the UK and beyond, in periods c. 1450 onwards: 
 
- Historical geographies of landscape and environmental change, including projects on living with water and flood; country houses, gardens and parks; enclosure, improvement and agricultural change; rural and urban landscapes 
 
- Women histories and historical geographies 
 
- The geographies of protest, resistance and the law (in both historic and contemporary contexts) 
 
- Heritage issues 
 
Completed PhDs 
 
- Helen Bergin, The man, the sea and the ice. Captain William Colbeck's Antarctic story (1898-1904) 
 
- Charlotte Garside, Women in Chancery: an analysis of chancery as a women's court of redress in late 17th-century England 
 
- Kalliopi Kaparounaki, Caring children in Malawi: children's work within families affected by illness and disability 
 
- Sarah Shields, Maid, wife, widow: women's life-course and property ownership, 1550-1800 
 
- Jazmin Scarlett (passed subject to corrections) The development of co-volcanic societies: the reciprocal relationships between the volcano La Soufrière and the society of St. Vincent, Lesser Antilles, 1718-1979 
 
- Lizzie Rogers (passed subject to corrections) Women and the World: Explorers from the Home during the Enlightenment in Britain 
 
Current PhD supervisions 
 
- Helen Manning, Women, property and the law: mapping sexual inequality in the East Riding of Yorkshire, 1708-1974 
 
- Stormm Buxton-Hill, The impact of women on family dynastic ambitions and legal change in England, 1550-1800 
 
- Ruth Quinn, Agricultural heritage of Saltaire 
 
- Catherine Goddard, Heritage interpretation and visitor experience at historic homes in the East Midlands, with a focus on women's history 
 
- Alice Whiteoak, Walking the world: Emotions, place and memory in English court records, 1400-1800

",Faculty of Science and Engineering
Dr Keshab Bhattarai,https://www.hull.ac.uk/staff-directory/keshab-bhattarai,"


Project
Funder
Grant
Started
Status


Project
Fiscal Policy for Growth, Efficiency and Redistribution in Vietnam: A CGE Analysis
Funder
British Academy
Grant
£10,000.00
Started
1 September 2017
Status
Complete



Postgraduate supervision
Dr Bhattarai welcomes applications in 
 
-  Tax policy analysis and public finance 
 
-  UK, EU and US and other advanced economies 
 
-  Developing and emerging economies 
 
-  Dynamic CGE and applied microeconomics 
 
-  DSGE models and applied macroeconomics 
 
-  Finance and growth 
 
-  Applied econometrics 
 
 
Students who Completed PhDs, with me as the first supervisor: 
 
Dr Chonlakan Benjasak: Computable General Equilibrium and Econometric Analyses of Taxation and Finance in Thailand, study leave from Walailak University, Thailand  
 
Dr Resham B. Thapa Parajuli: Liberalisation, growth and redistribution as a process of development 
 
-  Dr Abraham Adu (2017) Banking sector efficiency in Ghana: General Equilibrium and Econometric Analysis 
 
-  Dr Kennedy Abrokwa (2016) Role of energy sector in the Ghanaian economy 
 
-  Dr Dawid Trzeciakiewiecz (2015) Three Essays in Fiscal Policy of the UK: DSGE Analysis 
 
-  Dr Emmanuel Okyere (2013) Dynamic General Equilibrium Analysis of Economic Policies in Ghana 
 
-  Dr Andrew Sloan (2009) Macroeconomic dynamics among UK Regions, HUBS 
 
-  Dr Sehm Negm (2009) Free Trade and Economic Growth in Egypt; Tanta University, Egypt 
 
-  Dr Mark K Armah (2007) Econometric and General Equilibrium Analysis of Exchange Rate in Developing Economies 
 
-  Dr Francesco D Bispham (2006) Panel-Cointegration and Unit Roots and Efficiency of Asymptotic Estimators 
 
-  Dr Naveed Hassan Naqvi (2003) The Relationship Between Private and Public Capital and Impact on Economic Growth: The Case of Pakistan 
 
As second supervisor 
 
-  Dr Fu Tong (2015) Ex post contract adjustment in public private partnership projects (with Steve Trotter) 
 
-  Dr Ahmet Al-Busaidy (2009) Industrial Clustering in Oman (with Steve Trotter) 
 
-  Dr Hoessein Panahi (2008) Geographic Proximity and Economic Growth (with Richard Green) 
 
Ph.D. first supervisees who have completed viva: 
 
1.	Abdelatif Taloba: Models of economic growth and redistribution in Libya; study leave from Misurata Libya (RR after viva);  
2.	Xinxing Sima:  Economic Growth and Dynamic CGE Analysis in Education and Health Sectors in China from 2000 to 2010; Viva taken in August 2016, revising for resubmission. 
3.	Egbulonu, Alloysius: The Dynamics of Corruption, Capital Flight and Economic Growth with Panel Evidence from Sub Saharan Africa; self-finance, Viva 19 March 2018, revising for resubmission.  
4.	Ben-Naser Abdulhamid: Impacts of exchange rate fluctuations on macroeconomic performance in Libya, study leave, University of Misurata Libya. (Viva Nov2019; RR after viva) 
5.	Thi Kim Dung Nguyen: A CGE model for fiscal and monetary policy analyses of Vietnam; study leave, NEU, Hanoi, Vietnam. (viva 20 Dec 2019). 
 
Current Ph.D. students, supervisees: 
1.	Binayak Pandit: CGE model of Nepal for optimal fiscal and monetary policy of Nepal ; (jointly with F Perez-Sebastian) 
2.	Ahmad E Alfar:  SEM modelling of the shadow economy of Palestine; (jointly with F Perez-Sebastian)           . 
3.	Apere, Tamara Karela:  Building a sustainable path of growth through agriculture in Nigeria; (upgrade planned Jan 2020)  
4.	Lucky Ossai : Employment generation and agricultural transformation in Nigeria (part time)

","Faculty of Business, Law and Politics"
Dr Katharina Wollenberg Valero,https://www.hull.ac.uk/staff-directory/katharina-wollenberg-valero,"


Project
Funder
Grant
Started
Status


Project
GCRF- PPF 20 Forecasting Ebola Spillovers
Funder
00 University of Hull
Grant
£18,157.00
Started
1 February 2018
Status
Complete


Project
The role of genomic networks in adaptation to changing environments
Funder
Royal Society
Grant
£19,793.00
Started
27 March 2019
Status
Complete



Postgraduate supervision
Applications from prospective PhD, MSc by Research (MRes) students or research fellows are welcome at any time. In particular, expressions of interest and applications in the following areas of research are invited: 
 
- Molecular stress and molecular adaptation 
 
- Organismal adaptation to climate change 
 
- Evolutionary inference using genomic and transcriptomic data 
 
- Interdisciplinary research intersecting genetics, bioinformatics, modelling and fieldwork in any combination 
 
- Comparative projects focusing on vertebrate ectotherms (fish, reptiles, amphibians) 
 
- Quantitative expertise development in STEM education

",Faculty of Science and Engineering
Dr Amanda Capern,https://www.hull.ac.uk/staff-directory/amanda-capern,"


Project
Funder
Grant
Started
Status


Project
Gender, Debt And Family Relations: The Temples Of Stowe
Funder
The Huntington
Grant
£4,285.00
Started
17 July 2017
Status
Complete


Project
Thames Consortium’s Collaborative Doctoral Partnership Scheme
Funder
AHRC Arts & Humanities Research Council
Grant
£55,827.00
Started
1 October 2014
Status
Complete


Project
Going to Chancery: Gender, Family and Law in England, 1550-1750
Funder
The Leverhulme Trust
Grant
£48,232.00
Started
1 February 2019
Status
Ongoing



Postgraduate supervision
Amanda Capern welcomes enquiries about doctoral supervision on any aspect of early-modern British women's history. 
 
Current PhD supervisions  
 
- Elizabeth Rogers (1st supervisor). Women and the World: Explorers from the Home during the Enlightenment in Britain (AHRC, Heritage Consortium Scholarship) 
 
- Alice Whiteoak (1st supervisor). Walking the World: Gender and Place in the Court of Exchequer 1620-1670 (Gender, Place and Memory Interdisciplinary Research Cluster, University of Hull) 
 
- Helen Manning (2nd supervisor). Women, Property and the Law: Mapping Sexual Inequality in the East Riding of Yorkshire, 1708-1974 (Gender, Place and Memory Interdisciplinary Research Cluster, University of Hull) 
 
- Stormm Buxton-Hill (2nd supervisor). Early Modern Women's Agency in negotiating Marriage Settlements 
 
- Sarah Shields (2nd supervisor). Maid, Wife and Widow: Women's Lifecycle and Property Ownership in the Long Eighteenth Century (University of Hull Doctoral Scholarship) 
 
- Charlotte Garside (1st supervisor). Women in Chancery: An Analysis of Chancery as a Women's Court of Redress in 17th Century England (AHRC, Collaborative Doctoral Partnership with The National Archives) 
 
- Nicola Kelsall (1st supervisor). The Figure of the Cuckold in Early Modern Political Culture and Social Discourse (University of Hull Doctoral Scholarship)

",Faculty of Arts Cultures and Education
Professor Andy Jonas,https://www.hull.ac.uk/staff-directory/andy-jonas,"


Project
Funder
Grant
Started
Status


Project
Global infrastructure public-private partnerships and the geopolitics of city-regions
Funder
RSA Regional Studies Association
Grant
£7,500.00
Started
1 November 2015
Status
Complete



Postgraduate supervision
Andy is happy to supervise a range of postgraduate research topics relating to his areas of research specialism, including 
 
-  city regionalism 
 
-  politics of urban and regional redevelopment 
 
-  urban infrastructure finance 
 
-  alternative economic spaces 
 
-  geographies of labour control and regulation 
 
-  urban sustainability and green forms of urban development 
 
Completed PhDs 
 
-  ?Muhammad Haji-Abdullah, Analysis of the Suitability of the Socio-Technical Transition to the Development of Low Carbon Transportation in Brunei Darussalam (2016) 
 
-  Sarinah Omar, Sungai Liang Industrial Park: can Brunei Achieve its Sustainable Industrial Development? (2016) 
 
-  Stephen Hall, Transportation and Low-Carbon Governance in City-Regions (2015) 
 
-  Erin DeMuynk, Farmers' Markets and Urban Sustainability, external committee member, University of Illinois, USA (2015) 
 
-  Marcela Mele, Suburban Development and Livelihood Strategies in Tirana City-Region (2011) 
 
-  Andrew Kythreotis, Sustainability Governance and Scalar Politics in the UK (2010) 
 
-  David Haigh, Social Enterprise and Alternative Economic Spaces in the UK (2009) 
 
-  Maksuder Rahman, Neighbourhood and Household Environmental Problems in Chittagong (2008) 
 
-  Felicity Powell, Social issues in UK Regional Planning (2005) 
 
-  Alison Williams, Technogeopolitics and Representations of the Pacific as US Territory (2005) 
 
Current PhD supervisions 
 
- Malgorzata Lekan, Social enterprise, alternative economic spaces and the circular economy 
 
- Heather Rogers, Employment and skills in development of the circular economy  
 
-  ?Hesham Waddani, Urban Forests in Tripoli, Libya: Policies and Citizen Participation 
 
- Santiago Perez (University of Troyes, Frances), Territory, industrial ecology and the circular economy 
 
-  Samuel Ramsden, Supporting Pro-Environmental Behaviours in Deprived Urban British Communities: Who is Responsible and How Can it be Done? 
 
-  Mbali Pewa, Investigating the Sustainability of Waste Recycling in South Africa 
 
-  Hui Yang, The Evolution of Endogenous Traditional Industry Clusters: a Case Study of the Chinese Liquor Industry 
 
-  Enrico Tommarchi, A Critical Analysis of the Relation between Cultural Policies and Strategic Urban Planning in Port Cities

",Faculty of Science and Engineering
Professor Greg Bankoff,https://www.hull.ac.uk/staff-directory/greg-bankoff,"


Project
Funder
Grant
Started
Status


Project
Local Governance and Community Resilience: How Internal Drainage Boards (IDBs) and Communities Managed Flooding in England
Funder
AHRC Arts & Humanities Research Council
Grant
£296,237.00
Started
1 November 2017
Status
Ongoing


Project
Risks Hazards Disasters and Cultures Exploring an Integrated Humanities Natural Sciences and Disaster Studies Approach
Funder
AHRC Arts & Humanities Research Council
Grant
£10,283.00
Started
1 March 2016
Status
Complete


Project
Increasing Resilience to Natural Hazards
Funder
Overseas Development Institute
Grant
£20,000.00
Started
28 September 2015
Status
Complete


Project
Hazards, Tipping Points, Adaptation and Collapse in the Indo-Pacific World
Funder
Australian Research Council
Grant
£12,473.00
Started
1 January 2016
Status
Complete


Project
Earthquakes without frontiers: a partnership for increasing resilience to seismic hazard in the continents
Funder
NERC Natural Environment Research Council
Grant
£111,036.00
Started
1 July 2012
Status
Complete



Postgraduate supervision
I welcome applications in environmental history, disaster studies, community-based disaster risk reduction, animal studies.

Completed PhDs 

Rebecca Messham, White Rose and Hull Scholarship, Doing Business Underwater: Flooding, Resilience and Entrepreneurship in the UK, 2009-2014

Alexia Rogers-Wright, ESRC CASE Studentship, Rethinking the Spaces and Institutions for the Governance of Flood Management, 2008-2013

Current PhD supervisors

George Borrinaga, Mechanisms of Resilience: Identification, Social Memory and Community Responses to Crises in Samar and Leyte, Philippines, 1882-2013

Jazmin Scarlett, The Reciprocal Relationships between Volcanoes and Societies on St. Vincent, Lesser Antilles

Shaun Allan, The Territorial Army and its Future

Loreta Zydeliene, Interwar Forests and Forest Industry in Lithuania

",Faculty of Arts Cultures and Education
Dr Andrew King,https://www.hull.ac.uk/staff-directory/andrew-king,"


Project
Funder
Grant
Started
Status


Project
New Music Biennial Evaluation
Funder
Paul Hamlyn Foundation
Grant
£30,170.00
Started
1 September 2016
Status
Complete



Postgraduate supervision
Dr King offers supervision in the areas of record studio pedagogy, online music education, record production and music education. 
 
Completed PhDs 
 
Dr Niall Thomas (2016) 
Current PhD supervisions  
David Nickerson (2017-)Stephen Borg (2012-2017)

",Faculty of Arts Cultures and Education
Dr Jo Metcalf,https://www.hull.ac.uk/staff-directory/jo-metcalf,"


Project
Funder
Grant
Started
Status


Project
Prison Culture & Creative Writing
Funder
ACE Arts Council of England
Grant
£12,255.00
Started
1 September 2018
Status
Complete


Project
Seed Funding: UK-US Collaborative Workshop On Violence
Funder
British Academy
Grant
£1,400.00
Started
1 April 2018
Status
Complete


Project
Prison, Pop-Culture, and Transatlantic Perspectives: How UK (ex) Prisoners Interpret American (Penal) Culture
Funder
HCC Hull City Council
Grant
£1,350.00
Started
1 September 2018
Status
Complete



Postgraduate supervision
Dr Metcalf welcomes applications in 
 
-  Contemporary African American and Mexican American popular culture and literature 
 
-  Street gang / prison culture 
 
-  Reader / audience reception studies 
 
Completed PhDs 
 
-  Representation of the girl gang and gang girl in films since 1980s (2013-2016).

",Faculty of Arts Cultures and Education
Dr Max Hope,https://www.hull.ac.uk/staff-directory/max-hope,"


Project
Funder
Grant
Started
Status


Project
Radical Inclusivity/Exclusivity: Reconsidering ‘exclusive’ schools and their role within ‘inclusive’ education
Funder
Spencer Foundation
Grant
£34,757.00
Started
1 February 2016
Status
Complete



Postgraduate supervision
Max welcomes applications for postgraduate supervision in her specialist areas.

Current PhD supervisions

-  Currently supervising 11 PhD and EdD students (eight as first supervisor; three as second supervisor)

",Faculty of Arts Cultures and Education
Dr Barnaby Haran,https://www.hull.ac.uk/staff-directory/barnaby-haran,"


Project
Funder
Grant
Started
Status


Project
Representing the Scottsboro Boys: Labor Defender and the Racial Politics of Radical Photography
Funder
British Academy
Grant
£4,370.00
Started
10 June 2019
Status
Complete



Postgraduate supervision
Dr Haran welcomes applications in 
 
- American art and visual culture 
 
- histories of photography 
 
- avant-garde and documentary film 
 
- radical culture

",Faculty of Arts Cultures and Education
